ሰላም ለኪ	nagaan isiniif haa ta'u
ንሕነሰ ነአምር ከመ ዐደውነ እሞት ውስተ ሕይወት እስመ ናፈቅር ቢጸነ ወዘሰ ኢያፈቅር ቢጾ ውስተ ጽልመት ይነብር	nuyi obboloota waan jaallannuuf du'a keessaa gara jireenyaatti akka darbine beekna namni nama hin jaallanne immoo du'a keessatti hafa
ወቦአ ጳውሎስ ምኵራበ ወነገረ ገሃደ ወነበረ ሠለስተ አውራኀ ይትዋቀሦሙ ወያአምኖሙ በእንተ መንግሥተ እግዚአብሔር	phaawulos immoo hamma ji'a sadiitti mana sagadaa warra yihudootaatti deddeebi'ee ija jabinaan barsiise yeroo kanattis wajjin dudubbachaa akka isaan amansiisuufis waa'ee mootummaa waaqayyoo hubachiisaa ture
ወበዝንቱ አእመርናሁ ለተፋቅሮ እስመ ውእቱ መጠወ ነፍሶ በእንቲኣነ ወንሕነኒ ይደልወነ ንመጡ ነፍሰነ በእንተ ቢጽነ	kristos lubbuu isaa nuuf kennuu isaatiin jaalalli maal akka ta'e hubanneerra egaa nus immoo lubbuu keenya obbolootaaf kennuun nuuf ta'a
ወናሁ ታወጽአኒ እምድር ወእምቅድመ ገጽከ እትኅባእኑ ወእከውን ርዑደ ወድንጉፀ ዲበ ምድር ወኵሉ ዘረከበኒ ይቀትለኒ	kunoo ati har'a lafa maasii koo irraa na ariiteetta fuula kee duraas dhokachuun na irra jira ani lafa irratti nama jooraa nama lafa dhaqu hin qabnes nan ta'a namni na arge hundinuus ana in ajjeesa jedhe
ወአእሚሮ እግዚእ ኢየሱስ ከመ ሰምዑ ፈሪሳውያን ከመ በዝኁ አርዳኢሁ ለእግዚእ ኢየሱስ ወአብዝኁ አጥመቆ እምዮሐንስ	iyyasuusyommus yohannis irra kan caalu bartoota dabalachaa cuuphaas akka ture warri fariisotaa dhaga'uu isaanii yesusis in bare
እግዚአብሔር ኀይልየ ወጸወንየ ወመድኀኒየ አምላኪየ ወረዳኢየ ወእትዌከል ቦቱ ምእመንየ ወቀርነ ሕይወትየ ወምስካይየ	waaqayyo kattaa koo masaraa koo oolchaa koo tis waaqayyo koo da'oo dhagaa isa ani kooluu itti galuu dha gaachana koo isa akka gaanfaa fayyina koof faccisu iddoo dhokannaa koo isa ol jedhaa dhas
እግዚአብሔር ያኀድሮሙ ለባሕታዊያን ውስተ ቤቱወያወፅኦሙ ለሙቁሓን በኀይሉከማሁ ለምሩራን እለ ይነብሩ ውስተ መቃብር	waaqayyo warra kophaa jiraataniif maatii in kennaafwarra hidhamanis gara jireenya gaariitti in baasawarri mormanii isa irratti ka'an garuu biyya qoqoree keessa in jiraatu
ወይቤሎሙ ለአርዳኢሁ ይመጽእ መዋዕል አመ ትፈትዉ ትርአዩ አሐተ እምነ መዋዕሊሁ ለወልደ ዕጓለ እመሕያው ወኢትሬእዩ	itti fufees bartoota isaatiin yeroon isin itti guyyoota ilma namaa keessaa guyyaa tokko illee arguudhaaf hawwitan in dhufa hin argitanis
ወሀገራሰ ኢትፈቅድ ፀሓየ ወኢወርኀ ከመ ያብርሁ ላቲ እስመ ብርሃነ እግዚአብሔር ያበርህ ላቲ ወማኅቶታ ውእቱ በግዑ	biiftuun yookiis ji'i mandarattii irratti ibsuun barbaachisaa miti ulfinni waaqayyoo ifa ishee ti hoolichis ibsaa ishee ti
ገነት ዕፁት እኅትየ መርዓት ገነት ዕፁት ዓዘቅት ኅትምት ፍናወ ዚአኪ ገነት ምስለ ፍሬ አቅማሕ ቆዕ ምስለ ናርዶስ	yaa haadha manaa koo misirroo ati biqiltuu dallaa karaan kee biqiltuu dallaa boolla cufame urgooftuu mi'eessituu urgooftuu wajjin qabdu urgooftuu koo'a jedhamu
ወእመሰ ጽድቅ ውእቱ ቃለ እግዚአብሔር ወበሐሰተ ዚኣየ ተዐውቀ ዕበዩ ወስብሐቲሁ ለምንት እንከ ይኴንነኒ ከመ ኃጥእ	garuu soba kootiin dhugaan waaqayyoo caalaa mul'atee ulfina kennisiisaaf yoo ta'e maaliif ammuma iyyuu akka cubbamaatti yakki anatti muramaa jira ree
ወይቤሎ እግዚኡ ኦ ገብር ኄር ወምእመን ዘበውኁድ ምእመነ ኮንከ ዲበ ብዙኅ እሠይመከ ተሠየም ላዕለ ዐሠርቱ አህጉር	mootichi immoo ba'eessa goote garbicha gaarii nana waan baay'ee xinnoo irratti waan amanamteef ani immoo mandara kudhan akka mootuuf siifan kenna jedheen
ዘአኮ በኲናቶሙ ወረስዋ ለምድርወመዝራዕቶሙ ኢያድኀኖሙዘእንበለ የማንከ ወመዝራዕትከ ወብርሃነ ገጽከእስመ ተሣሀልኮሙ	isaan billaa isaaniitiin laficha hin qabanne yookiis irreen isaanii mo'icha hin laanneef garuu ati waan isaanitti gammaddeef mirgi kee fi irreen kee ifni fuula kees kana isaaniif kenne
ወርእዮ ሐራዊ ሊቀ ምእት ዘይቀውም መንጸረ ከመ ከመዝ ግዒሮ ሞተ ይቤ አማን ዝንቱ ብእሲ ወልደ እግዚአብሔር ውእቱ	angafni dhibbaa inni gara yesusitti gara galee dhaabatu akkasitti hafuurri isaa isa keessaa yaa'uu isaa yommuu hubate namni kun dhuguma ilma waaqayyoo ture jedhe
ወመሀረነ ወልድከ እግዚእነ ወመድኃኒነ ኢየሱስ ክርስቶስ ከመ አንተ ባሕቲትከ አቡሁ ሎቱ ወውእቱ ባሕቲቱ ወልድ ለከ	ilmi kee gooftaa fi fayyisaan keenya iyyasuus kiristoos ati tokkicha abbaa isaa akka ta'ee fi inni tokkicha ilma kee akka ta'e nu barsiise
ወመሀረነ ወልድከ እግዚእነ ወመድኃኒነ ኢየሱስ ክርስቶስ ከመ አንተ ባሕቲትከ አቡሁ ሎቱ ወውእቱ ባሕቲቱ ወልድ ለከ	ilmi kee gooftaafi fayyisaan keenya iyyesuus kiristoos ati qofa abbaasaa akka taate innis ilma kee qofa akka tae nuu barsiise
ወበህየ በካልእ ስብሐት ወደሱኪ ኪሩቤል ወሱራፌል ዘኢኮነ እምስብሐቲሆሙ ዘውስተ ሰማያት ወኢ እምስብሐቲሆሙ ዘትካት	haala kanaan kiruubelonni fi suraafimoonni biyya lafaa galata haaraa samii irratti galata isaanii yookiin galata isaanii isa duraa hin taane si galateeffataniiru
ወይቤሎ እግዚአብሔር ለኖኅ ባእ አንተ ወኵሉ ቤትከ ውስተ ታቦት እስመ ኪያከ ረከብኩ ጻድቀ በቅድሜየ በዛቲ ትውልድ	waaqayyo yommus nohiin dhaloota kana keessaa ati na duratti qajeelaa akka taate waanan argeef ati warra mana kee hundumaa wajjin markabichatti gali
በኀቤነሰ ፍጹም አስተርአ አየት ወከመ ፀሓይ አንበስበሰት ለለሰሙኑ ትሰፍን ወለለሰሙኑ ትነግሥ ወለለሰሙኑ ትትቀመይ	garuu nuuf guutummaatti mul'attee jirti akka aduu deemti torban torbaniin leenjifti torbanitti bulti torbanitti lakkaa'amti
ወዘሰ ሐወጸ ውስተ ሕግ ፍጹም ዘያግዕዝ ወተዐገሠ ኢኮነ ራስዐ ዘሰምዐ አላ ገባሬ ሕግ ውእቱ ብፁዕ ዝንቱ በምግባሩ	namni seera birmadummaa isa hir'ina hin qabne keessa lixee ilaalu isa biraas kan hin deebine isa dhaga'ee hojii irra kan oolchu malee kan hin irraanfanne garuu gocha isaatti gammaduuf jira
ወዘኒ ሰምዐ ቃልየ ወኢዐቀቦ አኮ አነ ዘእኴንኖ እስመ ኢመጻእኩ ከመ እኰንኖ ለዓለም ዘእንበለ ከመ አሕይዎ ለዓለም	namni dubbii koo dhaga'ee yoo eeguu dhabaate ani isatti hin faradu ani biyya lafaa oolchuudhaaf malee itti faraduudhaaf hin dhufne
አንተኑ ተዐቢ እምያዕቆብ አቡነ ዘወሀበነ ዘንተ ዐዘቅተ ውእቱኒ ሰትየ እምኔሃ ወአንስትያሁኒ ወደቂቁኒ ወእንስሳሁኒ	abbaa keenya yaaqoob isa bishaanicha dhugee ijoolleen isaa horiin isaas dhuganii boolla bishaanichaa immoo nuuf kenne in caaltaa jetteen
ወመጺኦ ቃል ተረክበ እግዚእ ኢየሱስ ባሕቲቶ ወእሙንቱሰ አርመሙ ወኢነገሩ ወኢለመኑሂ ዘርእዩ ወዘሰምዑ ውእተ አሚረ	sagaleen sun erga dubbatee booddee iyyasuuskophaa isaa ta'ee argame bartoonnis calluma jedhan malee waan argan keessaa tokko iyyuu yeroo sanatti namatti hin himne turan
ወፍጡነ ሑራ ንግራሆሙ ለአርዳኢሁ ከመ ተንሥአ እምዉታን ወናሁ ይቀድመክሙ ገሊላ ወበህየ ትሬእይዎ ናሁ አይዳዕኩክን	ammas dafaa dhaqaa bartoota isaatti inni du'aa ka'eera kunoos inni isin dura galiilaa in dhaqa achitti isa in argitu jedhaatii himaa kunoo ani isinitti himeera jedhe
ወንሕነሰ ነገድነ እምጢሮስ ወይእቲ ሱር ወበጻሕነ ሀገረ አካ ወተአማኅናሆሙ ለአኀዊነ ወነበርነ ኀቤሆሙ አሐተ ዕለተ	nuyi isa xiiroosii kaane immoo mandara phitolemeesitti gallee markabaan adeemuu raawwanne achittis amantoota nagaa gaafannee guyyaa tokko isaan bira oolle
አሌ ሎቱ ለዓለም እመንሱት ዘይመጽእ እስመ ግብር ይመጽእ መንሱት ወባሕቱ አሌ ሎ ለውእቱ ብእሲ ዘያመጽኣ ለመንሱት	gufannaan waan dhufuuf biyya lafaatiif wayyoo gufannaan dhufuun irra jira'o garuu nama gufannaan karaa isaa dhufu sanaaf wayyoo
ወተንሥአ መልአክ ሶቤሃ ወሮጸ ኀቤሆሙ ምስለ ወዓሊሁ ወሶበ ርእይዎ ለመልአክ ምስለ ወዓሊሁ ኀደጉ ዘቢጦቶ ለጳውሎስ	angafichi kumaa sun achumaan loltootaa fi angafoota dhibbaa fudhatee namoota phaawulosin qabatan irra ba'e isaan angaficha kumaatii fi loltoota yommuu argan phaawulosin rukutuu dhiisan
ወእምዝ እንዘ አሐውር ደማስቆ አልጺቅየ ኀበ ሀገር ሶበ ይከውን ቀትረ ግብተ በረቀ መብረቅ ዐቢይ እምሰማይ ላዕሌየ	karaa irra adeemaa damaasqootti yommuu ani dhi'aadhe waareetti dingata ifni humnaqabeessi naannoo kootti balaqqeessa'e
ኪያሁ ረሰዮ እግዚአብሔር መልአከ ሕይወት ወአልዐሎ በየማኑ ወወሀቦሙ ለእስራኤል ንስሓ ከመ ይትኀደግ ሎሙ ኀጢአቶሙ	waaqayyo geddarannaa yaada garaatii fi dhiifamuu cubbuu israa'eliif kennuudhaaf abboomaa fayyisaas godhee gara mirga isaatti ol isa fuudheera
ወሀገረሰ ኀበ ቦእክሙ ወኢተወክፉክሙ ሰብአ ይእቲ ሀገር ወፂአክሙ ውስተ መርሕባ ንግፉ ጸበለ እገሪክሙ እንዘ ትብሉ	mandara tokkotti galtanii yoo isin simuu didan garuu gara karaatti achi ba'aa
ወባሕቱ ርቱዕ ሊተ እግበር ግብሮ ለዘፈነወኒ እንዘ መዓልት ውእቱ እስመ ትመጽእ ሌሊት ዘኢይክል ቦቱ አሐዱሂ ገቢረ	hojii isa ana ergee guyyaadhaan hojjechuun nuuf in ta'a yeroo namni tokko illee itti hojjechuu hin dandeenye halkan in dhufa'o
እስመ ሀለዎ ለወልደ ዕጓለ እመሕያው ይምጻእ በስብሐተ አቡሁ ምስለ መላእክቲሁ ወአሜሃ የዐስዮ ለኵሉ በከመ ምግባሩ	ilmi namaa ulfina abbaa isaatiin ergamoota isaa wajjin dhufuuf jira yommus adduma addaan akka hojii isaatiitti gatii isaa in kennaaf
ወነጺሮ ጳውሎስ ዐውደ ይቤሎሙ አንሰኬ ኦ አኀውየ በኵሉ ትምህርት ሠናይ ተፀመድክዎ ለእግዚአብሔር እስከ ዛቲ ዕለት	phaawulos ija warra yaa'ii keessa ilaalee jarreen obboloota nana ani hamma guyyaa har'aatti garaan koo utuu ana hin ceepha'in fuula waaqayyoo dura jiraadheera jedhe
እስመ ሰዱቃውያን ይብሉ ኢየሐይዉ ሙታን ወአልቦ መልአክ ወኢመንፈስ ቅዱስ ወፈሪሳውያንሰ የአምኑ ከመ ቦ ዝንቱ ኵሉ	warri saduqootaa du'aa ka'uun hin jiru ergamoonni waaqayyoo hafuuronnis hin jiran jedhu warri fariisotaa garuu kun hundinuu jira jedhu
ወይእዜሰ ተኀሥሡ ትቅትሉኒ ብእሴ ጻድቀ ዘጽድቀ እነግረክሙ ዘሰማዕኩ በኀበ እግዚአብሔር ወአብርሃምሰ ኢገብረ ከመዝ	ani dhugicha isan waaqayyo irraa dhaga'e isinitti himeera isin garuu ana nama akkasii ajjeesuu barbaaddu abrahaam akka kana hin hojjenne
ወእትኃሠሥ እምእደ ኵሉ አራዊት ወእምእደ ኵሉ ሰብእ ወእምእደ ብእሲ ዘእኁሁ እትኃሠሥ ዘነፍሰ ኵሉ እጓለ እመሕያው	ani lubbuu keessan eeguudhaaf dhiiga keessan bineensa harkaa nama harkaas nan barbaada lubbuu namaa harka nama akka isaatii keessaa nan barbaada
አክሊለ ምክሕነ ወቀዳሚተ መድኃኒትነ ወመሠረተ ንጽሕነ ኮነ በማርያም ድንግል እንተ ወለደት ለነ ዘእግዚአብሔር ቃለ	gonfoon ulfina keenyaa jalqabni fayyina keenyaa buuura qulqullummaa keenyaas dubroo maariyaam keessatti argame isheen nu fayyisuuf dubbii waaqayyoo nama deesse
ወኀጢእየ እንከ ዘእገብር ሎሙ ፍትሐ በእንተ ማኅሠሦሙ እቤሎ ለጳውሎስ ትፈቅድኑ ትሑር ኢየሩሳሌም ወበህየ ትትዋቀሥ	dubbii kana akkan itti qoru nan wallaalee kanaafan phaawulos yerusaalem dhaqee achitti dubbii kanaaf firdii argachuu in fedha yoo ta'eef isa gaafadhe
ወይቤሎ እግዚእ ኢየሱስ ለጴጥሮስ አግብኣ ለመጥባሕትከ ውስተ ቤታ ጽዋዐ ዘወሀበኒ አቡየ ኢየኀድግ ዘእንበለ እስተይ	iyyasuusgaruu phexrosiin billaa kee mann'ee isaatti deebisi xoofoo dhiphinaa abbaan anaaf kenne keessaa hin dhuguu ree jedhe
ኦ ድንግል ኦ ቅድስት ኦ ወላዲተ እግዚእ እስመ ወለደኪ ለነ ንጉሠ መንክር ምሥጢር ኀደረ ላዕሌኪ ለመድኃኒተ ዚአነ	durbee qulqulleettii yaa gooftaa deesse utuu iccitiin ajaa'ibaa tokko ta'ee nu oolcheera silaa mootii nuuf deesse
ወትቀፍልዎ ወርቀ ንጹሐ እምውሳጤሁ ወእምአፍአሁ ወትቀፍልዋ ወትገብር በውስቴታ ማዕበለ ዘወርቀ ዘኍጻዳት እምዐውዳ	keessaa fi alaa warqee gaariin uwwisi gonfoo warqee immoo naannoo isaa kaa'i
ወሰምዑ ፈሪሳውያን ከመ አንጐርጐሩ ሕዝብ በእንቲኣሁ ወፈነዉ ሊቃነ ካህናት ወፈሪሳውያን ወዓልያኒሆሙ ከመ የአኀዝዎ	fariisonni yommus isa namoonni waa'ee iyyasuusguunguman dhaga'an luboonni warri angafoonni fariisonnis yesusin qabsiisuudhaaf naa'ota isaanii isatti ergan
ወናሁ ኵላ ምድር ቅድሜከ ይእቲ ተሌለይ እምኔየ እመ የማን አነ ወአንተ ጸጋመ ወእመ አኮ አንተ የማን ወአነ ጸጋም	kunoo lafichi guutummaan isaa si dura jira mitii ree anattii gargar baafadhu ati gara harka bitaa yoo fudhatte ani gara harka mirgaa nan dhaqa ati gara harka mirgaa yoo fudhatte immoo ani gara harka bitaa nan dhaqa jedhe
ወበእንተዝ ይመስለኒ አልቦ ዘይክል ተቃውሞታ ለዛቲ ወይእዜኒ ርቱዕ በድቡት ንግበሮ ለዝ ወአኮ በሀከክ ወበትዝልፍት	kanas namni falmu erga hin jirree isin gab jechuutu isiniif ta'a waan tokko illees utuu itti hin yaadin hojjechuun isiniif hin ta'u
ወፈነወ ለመቄዶንያ ክልኤተ እም እለ ይትለአክዎ ጤሞቴዎስሃ ወአርስጦስሃ ወውእቱ ጳውሎስ ነበረ እስያ ብዙኀ መዋዕለ	gargaartota isaa keessaa lama ximotewosii fi erasxosin gara maqedooniyaatti ergee ofii isaatii kutaa biyya asiyaa keessa takka ture
ወአውሥአ እግዚእ ኢየሱስ ወይቤሎሙ ብዙኀ ግብረ ሠናየ አርአይኩክሙ ዘእምኀበ አቡየ በአይ ግብር እምኔሆሙ ትዌግሩኒ	iyyasuusgaruu deebisee hojii gaggaarii abbaan koo anatti kenne baay'ee hojjedhee isinitti argisiiseera isaan kana keessaa hojii isa kamiif dhagaadhaan ana dha'uu barbaaddu isaaniin jedhe
ወተሰምዐ ዝ ነገር በኀበ ኵሎሙ አይሁድ ወአረሚ እለ ይነብሩ ኤፌሶን ወፈርሁ ኵሎሙ ወአዕበዩ ስመ እግዚእነ ኢየሱስ	kunis yihudootaa fi griikota efesoon jiraatan biratti in beekame kana irratti isaan guddaa na'an maqaan gooftaa yesus garuu ulfina guddaa argate
ወፈወሶሙ ለብዙኃን ሶቤሃ እምደዌሆሙ ወእምሕማሞሙ ወእምአጋንንት እኩያን ወለብዙኃን ዕዉራን ጸገዎሙ ብርሃነ ይርአዩ	yeroodhuma sanatti iyyasuusnamoota baay'ee dhukkuba isaaniittii dha'icha isaaniittii hafuurota hamaattiis fayyise jaamota baay'eetiif agartuu isaanii bane
ዳግመ ከፈለነ ንብላዕ እምዕፀ ሕይወት ዘውእቱ ሥጋሁ ለክርስቶስ ወደሙ ክቡር በእንተ ፍቅረ ዚአነ መጽአ ወአድኀነነ	firii jireenyaa irraa nyaachuuf dhalanne jechuunis waan nu jaallatuuf dhufee nu fayyise qaama gati jabeessa kiristoos dhiiga isaa isa qaalii
ወይቤሎ እግዚኡ ኦ ገብር ኄር ወምእመን ዘበውኁድ ምእመነ ኮንከ ዲበ ብዙኅ እሠይመከ ባእ ውስተ ፍሥሓሁ ለእግዚእከ	gooftaan isaa immoo ba'eessa goote hojjetaa gaarii dhaa fi amanamaa nana ati waan xinnoo irratti amanamte ani immoo waan guddaa irra sin dhaaba gammachuu gooftaan kee itti jiraatutti gali jedheen
ወይቤሎ እግዚኡ ኦ ገብር ኄር ወምእመን ዘበውኁድ ምእመነ ኮንከ ዲበ ብዙኅ እሠይመከ ባእ ውስተ ፍሥሓሁ ለእግዚእከ	gooftaan isaa immoo ba'eessa goote hojjetaa gaarii dhaa fi amanamaa nana ati waan xinnoo irratti amanamte ani immoo waan guddaa irra sin dhaaba gammachuu gooftaan kee itti jiraatutti gali jedheen
ወይሰበክ ዝ ወንጌለ መንግሥት ውስተ ኵሉ ዓለም ከመ ይኩን ስምዐ ላዕለ ኵሉ አሕዛብ ወይእተ አሚረ ይበጽሕ ኅልቅት	saba hundumaatti akka dhugaa ba'uuf wangeelli mootummaa kun guutummaa biyya lafaatti in lallabama kana booddees dhumni in dhufa jedhe
ወሀለወክሙ ትስምዑ ቀትለ ወድምፀ ጸባኢት ዑቁ ኢትደንግፁ እስመ ግብር ይከውን ከማሁ ወባሕቱ አኮ በጊዜሃ ዘየኀልቅ	lolaa fi oduu lolaa dhaga'uuf jirtu akka hin naanetti ilaaladhaa kan akkasii kun ta'uun irra jira kun garuu amma illee dhuma isaa miti
ከማሁኬ አንትሙኒ እንተ አፍኣክሙ ትጼደቁ ለዐይነ ሰብእ ወእንተ ውስጥክሙሰ ምሉኣን አንትሙ ዐመፃ ወሀዪደ ወአድልዎ	isinis immoo akkasuma karaa alaa namoota biratti qajeelota fakkaattu keessi keessan garuu of arguu dhabinaa fi irradaddarbaan guutuu dha jedhe
ወሠናይ ገጻ ጥቀ ለይእቲ ወለት ወድንግል ይእቲ ወኢታአምር ብእሴ ወወረደት ውስተ ዐዘቅት ወቀድሐት ወሶበ ዐርገት	intalattiin baay'ee ija namaatti in tolti durba dhiirri bira hin ga'inis turte isheen gara boolla bishaanichaatti gad buutee gomboo ishees guutattee ol deebite
ወያአምሩ ከመ አነ ውእቱ እግዚአብሔር አምላኮሙ ዘአውጻእክዎሙ እምድረ ግብጽ ከመ እሰመይ ሎሙ ወእኩኖሙ አምለኮሙ	ani waaqayyo gooftaa isaanii isa isaan gidduu jiraachuuf biyya gibxii keessaa isaan baase ta'uu koo ni beeku ani waaqa isaaniiti
ወአስተጋብእዎሙ ሊቃነ ካህናት ወፈሪሳውያን ለሕዝብ ወይቤልዎሙ ምንተ ንሬሲ ናሁ ዝንቱ ብእሲ ብዙኀ ተኣምረ ይገብር	kana irratti luboonni warri angafoonnii fi fariisonni yaa'ii warra yihudootaa walitti waammatanii waa'ee namicha milikkita baay'ee argisiisaa jiru kanaa maal gochuu nuuf wayya
ወቦዊአነ ሮሜ መጠወ ሐቢ ሙቁሓነ ለሠርዌ ሐራ ወለጳውሎስሰ አብሖ ከመ ይንበር ኀበ ፈቀደ ወባሕቱ ዐቃቢሁሰ ምስሌሁ	mandara roomaa yommuu geenyes angafni dhibbaa warra hidhaa harka isaa turan ajajjuu buufata warra loltuutti dabarse phaawulos immoo loltuu isa isa eeguu wajjin mana dugda bitatee akka taa'uuf dhiise
ወወፂኦሙ እሙንቱ አግብርት ውስተ ፍናው አስተጋብኡ ኵሎ ዘረከቡ እኩያነ ወኄራነ ወመልአ ቤተ በዓል እምእለ ይረፍቁ	yommus hojjetoonni sun gara karaa gurguddaatti ba'anii kan argatan hundumaa warra hamootas warra gaggaariis dachaasan manni cidhichaas keessummootaan guute
ወአግብር መሥዋዕተ ወትገብሩ ሎቱ አቅርንተ ውስተ አርባዕቱ መኣዝኒሁ ውስቴቱ ይፃእ አቅርንቲሆን ወቅፍልዎ በብርት	golee afran irratti gaanfa ni tolchi gaanfonis ittiin tokkicha isaanis sibiila diimaatiin itti uwwisan
ለእመቦ እምኔነ ዘቦ ቂም ውስተ ልቡ ይትገኀሥ ወኢይቁም ወዘሰ አንጽሐ ነፍሶ ወስጋሁ ብፁእ ውእቱ ይምጻእ ወይንሣእ	nu keessaa namni sammuu isaa keessatti haloo qabu yoo jiraate inni foonii fi lubbuu isaa qulqulleesse garuu dhufee isa simachuun eebbifama malee hin irraa buqqa'u
ወአውጽአ ውእቱ ብእሲ ሰርጐ ወርቅ ወብሩር ወአልባሰ ሠናይተ ወወሀባ ለርብቃ ወወሀቦሙ አምኃሆሙ ለእኁሃ ወለእማኒ	hojjetichi kana booddee naqata meetii fi naqata warqee uffata babba'eessa fidee ribqaadhaaf kenne obboleessa isheef haadha isheefis immoo kennaa gatijabeessa in laate
ወይቤሎ መኑ አንተ እግዚኦ ወይቤሎ አነ ውእቱ ኢየሱስ ናዝራዊ ዘአንተ ትሰድደኒ ይብእሰከ ረጊጽ ውስተ ቀኖት በሊኅ	inni immoo eenyu ati yaa gooftaa jedhe sagalichis deebisee ana yesus kan ati ari'attu
ወነበቦ መልአከ እግዚአብሔር ለፊልጶስ ወይቤሎ ተንሥእ ወሑር ጊዜ ቀትር ፍኖተ በድው ዘያወርድ እምኢየሩሳሌም ለጋዛ	ergasii ergamaan waaqayyoo filiphosiin ka'i waareetti gara mirgaa gara karaa onaa isa yerusaalemii gaazaatti geessuu dhaqi jedhe
እስመ ዓዲሁ ኢወረደ መንፈስ ቅዱስ ወኢ ዲበ አሐዱሂ እምውስቴቶሙ ዳእሙ ተጠምቁ በስሙ ለእግዚእነ ኢየሱስ ክርስቶስ	maqaa gooftaa yesus duwwaatti cuuphamanii turan malee hafuurri qulqulluun isaan keessaa nama tokko irratti illee hin buune
ወሶበ አምንዎ ለፊልጶስ ዘሰበከ ሎሙ በእንተ መንግሥተ እግዚአብሔር ወበስመ ኢየሱስ ክርስቶስ ዕድ ወአንስት ተጠምቁ	amma garuu namoonni kun filiphos waa'ee mootummaa waaqayyootii fi waa'ee maqaa yesus kristos misraachoo yommuu isaanitti lallabe amananii dhiironnis dubartoonnis in cuuphaman
ቅድመ ዘቅድሳቲከ ስብሐት አትሓቱ አግብርቲከ ወአእማቲከ ክሣደ ነፍስ ወሥጋ ወመንፈስ አጽንን እዝነከ ኀበ ስእለቶሙ	faarfannaa qulqulloota kee dhiiraa fi dubartiin dura garboonni kee morma isaanii lubbuu isaanii fi qaama isaanii fi hafuura isaanii gadi qabatanii turan
ወበከመ በእንተ ዐሊወ አሐዱ ብእሲ ብዙኃን ኮኑ ኃጥኣነ ከማሁ ካዕበ በተአዝዞቱ ለአሐዱ ብእሲ ብዙኃን ኮኑ ጻድቃነ	akkuma abboomamuu diduu nama tokkootiin baay'een cubbamoota ta'an abboomamuu nama tokkootiin immoo akkasuma baay'een qajeelota in ta'u
ባዕደ ያድኅን ወርእሶ ኢይክል አድኅኖ እመሰ ንጉሠ እስራኤል ውእቱ ለይረድኬ ይእዜ እመስቀሉ ንርአይ ወንእመን ቦቱ	inni namoota biraa oolcheera ofii isaa immoo oolchuu hin danda'u inni mootii israa'el erga ta'ee mee amma fannoo irraa gad haa bu'u nus isatti in amanna
ወአርመሙ ወነጺሮ ኀበ ኵሎሙ በመዐት ይቤሎ ለውእቱ ብእሲ ስፋሕ እዴከ ወሰፍሐ ወሐይወት እዴሁ ወኮነት ከመ ካልእታ	naannoo isaa kan turan hundumaas tokko tokkoon erga ilaalee booddee namichaan harka kee diriirsi jedhe kana irratti inni harka isaa diriirse harki isaas deebi'ee fayye
ወሰሚዖሙ ዘንተ ቃለ ተጋብኡ ኵሎሙ ድንጉፃኒሆሙ ወኀጥኡ ዘይብሉ እስመ ሰምዕዎሙ ይነብቡ ኵሎሙ በነገረ በሐውርቲሆሙ	jarreen kun hundinuu huursaa kana yommuu dhaga'an iddoo kun ta'etti dacha'an warri hafuura qulqulluudhaan guutaman kun afaan tokkon tokkon isaaniitiin akka dubbatan dhageenyaan waan jedhan wallaalan
ወአዘዞሙ ወይቤሎሙ ከመ ይንሥኡ አድገኒ ወያጽዕንዎ ለጳውሎስ ወያብጽሕዎ ኀበ ፊልክስ መልአከ ቂሳርያ ወገብሩ ከማሁ	phaawulosin irra teessiftanii utuu hin miidhamin feeliks abbaa biyyaa biraan ga'uudhaafis horii yaabbii qopheessisaaf jedheen
እስመ በእንተ ዝንቱ ተጸዋዕክሙ እስመ ክርስቶስኒ በእንቲኣክሙ ሐመ ይኅድግ ለክሙ ማዕተቦ ከመ ትትልዉ አሠረ ዚኣሁ	isin kana gochuudhaaf waamamtaniittu kristos immoo isiniif dhiphatee faana isaa duukaa akka buutaniif fakkeenya isiniif kenneera
ምንት ተልሐፊየ አኮኑ ምስለ እለ አፍኣ ይትኴነኑ ወአንትሙሰ ኰንንዎሙ ለእለ ውስጥ እለ ምስሌክሙ ወፍትሑ ላዕሌሆሙ	namoota waldaa kristiiyaanaa keessa hin jirretti faraduun hojii koo tii ree warra waldaa kristiiyaanaa keessa jiranitti immoo isin hin faraddanii ree
ወኢትስግድ ለአማልክቲሆሙ ወኢታምልኮሙ ወኢትግበር ከመ ምግባሪሆሙ ነሢተ ትነሥቶሙ ወቀጥቅጦ ትቀጠቅጦሙ አዕማዲሆሙ	waaqolii isaaniif hin sagadiin isaaniif hin sagadu akka isaan godhanitti hin hojjetinaa garuu guutummaatti isaan balleessi siidaa isaaniis cabsi
ወእፌንዎ ለመልአኪየ ቅድሜከ ወያወፅኦሙ ለከናኔዎን ወለአሞሬዎን ወለኬጤዎን ወለፌሬዜዎን ወለጌርጌሴዎን ወለሔዌዎን	ergamaa si dura nan erga kanaaan amoorota heetotaa fereezii heewootaa fi yebuusoota siif nan baasa
